u_id,tuition,in_state
100654,17220,0
100654,8610,1
100663,21216,0
100663,8832,1
100690,9000,0
100706,23012,0
100706,10120,1
100724,16656,0
100724,8328,1
100751,31460,0
100751,11100,1
100760,7500,0
100760,3750,1
100812,14460,0
100812,7230,1
100830,18480,0
100830,8232,1
100858,31176,0
100858,10392,1
100937,20000,0
101028,7500,0
101028,3750,1
101116,15300,0
101143,7500,0
101143,3750,1
101161,7500,0
101161,3750,1
101189,21930,0
101240,8000,0
101240,4000,1
101286,7500,0
101286,3750,1
101295,7500,0
101295,3750,1
101301,7500,0
101301,3750,1
101365,11820,0
101435,26800,0
101453,10152,0
101462,7500,0
101462,3750,1
101471,3990,0
101480,19950,0
101480,9990,1
101505,7680,0
101505,3990,1
101514,7500,0
101514,3750,1
101569,7500,0
101569,3750,1
101587,18200,0
101587,9100,1
101602,7500,0
101602,3750,1
101648,12000,0
101648,6000,1
101675,11164,0
101693,23860,0
101709,25110,0
101709,12090,1
101736,7500,0
101736,3750,1
101879,20400,0
101879,10200,1
101897,7500,0
101897,3750,1
101912,18974,0
101994,7500,0
101994,3750,1
102030,7500,0
102030,3750,1
102049,35750,0
102058,4800,0
102067,7500,0
102067,3750,1
102076,8000,0
102076,4000,1
102094,17232,0
102094,8616,1
102234,21732,0
102270,9548,0
102298,12130,0
102313,7500,0
102313,3750,1
102368,18624,0
102368,9312,1
102377,19594,0
102395,17424,0
102429,8000,0
102429,4000,1
102553,19776,0
102553,6192,1
102580,10200,0
102614,23450,0
102614,7659,1
102632,22825,0
102632,7147,1
102669,20350,0
102845,16784,0
104151,29952,0
104151,10978,1
104160,9570,0
104160,2760,1
104179,35628,0
104179,11210,1
104346,3000,0
104346,1500,1
104425,6000,0
104425,2184,1
104577,9192,0
104577,2232,1
104586,38976,0
104665,28500,0
104708,7824,0
104708,2040,1
104717,16407,0
105145,7824,0
105145,2040,1
105154,7824,0
105154,2040,1
105206,6804,0
105206,1944,1
105297,1320,0
105330,17352,0
105330,10644,1
105349,9371,0
105349,1948,1
105367,12641,0
105428,7824,0
105428,2040,1
105525,7452,0
105525,2136,1
105589,33960,0
105668,7824,0
105668,2040,1
105747,7824,0
105747,2040,1
105792,7824,0
105792,2040,1
105899,29850,0
106148,9340,0
106148,2680,1
106245,18750,0
106245,6495,1
106263,14586,0
106263,7068,1
106306,8760,0
106342,29900,0
106397,25420,0
106397,7666,1
106412,12810,0
106412,5640,1
106449,4248,0
106449,2544,1
106458,12744,0
106458,6888,1
106467,11640,0
106467,5820,1
106485,10941,0
106485,5091,1
106546,10098,0
106625,4896,0
106625,2448,1
106704,13900,0
106704,6950,1
106713,16200,0
106795,3150,0
106795,2700,1
106810,13000,0
106883,3540,0
106883,2940,1
106980,4410,0
106980,3300,1
106999,2880,0
106999,2256,1
107044,22500,0
107071,8088,0
107071,5880,1
107080,34750,0
107141,28424,0
107318,3792,0
107318,2832,1
107327,3752,0
107327,2352,1
107460,4392,0
107460,2664,1
107488,4184,0
107512,30500,0
107521,4920,0
107521,2496,1
107549,5790,0
107549,2790,1
107558,24950,0
107585,3120,0
107585,2568,1
107600,11804,0
107619,4200,0
107619,2640,1
107637,6000,0
107637,3000,1
107664,5370,0
107664,4140,1
107725,3630,0
107725,2550,1
107743,2616,0
107743,2376,1
107840,4800,0
107877,17980,0
107974,4128,0
107974,2328,1
107983,12450,0
107983,7020,1
107992,4680,0
107992,3300,1
108092,11376,0
108092,4200,1
108232,25728,0
108269,17391,0
108667,8472,0
108667,1104,1
108807,8952,0
108807,1104,1
108852,37575,0
108861,2856,0
108870,62049,0
109208,9480,0
109208,0,1
109350,7704,0
109350,1104,1
109651,48942,0
109785,41650,0
109819,9510,0
109819,1380,1
109907,9072,0
109907,1104,1
110060,6680,0
110097,44382,0
110219,12159,0
110246,7584,0
110246,1104,1
110316,21116,0
110334,8472,0
110334,1104,1
110361,35958,0
110370,53856,0
110398,46376,0
110404,58479,0
110413,47500,0
110422,17622,0
110422,5742,1
110468,16569,0
110486,17622,0
110486,5742,1
110495,17622,0
110495,5742,1
110510,17622,0
110510,5742,1
110529,17622,0
110529,5742,1
110538,17622,0
110538,5742,1
110547,17622,0
110547,5742,1
110556,17622,0
110556,5742,1
110565,17622,0
110565,5742,1
110574,17622,0
110574,5742,1
110583,17622,0
110583,5742,1
110592,17622,0
110592,5742,1
110608,17622,0
