u_id,assoc,sport
100654,NCAA,MFB
100654,NCAA,MBB
100654,NCAA,WBB
100654,NCAA,MBA
100654,NCAA,MTR
100654,NCAA,WTR
100663,NCAA,MFB
100663,NCAA,MBB
100663,NCAA,WBB
100663,NCAA,MBA
100663,NCAA,MTR
100663,NCAA,WTR
100706,NCAA,MBB
100706,NCAA,WBB
100706,NCAA,MBA
100706,NCAA,MTR
100706,NCAA,WTR
100724,NCAA,MFB
100724,NCAA,MBB
100724,NCAA,WBB
100724,NCAA,MBA
100724,NCAA,MTR
100724,NCAA,WTR
100751,NCAA,MFB
100751,NCAA,MBB
100751,NCAA,WBB
100751,NCAA,MBA
100751,NCAA,MTR
100751,NCAA,WTR
100830,NCAA,MBB
100830,NCAA,WBB
100830,NCAA,MBA
100830,NCAA,MTR
100830,NCAA,WTR
100858,NCAA,MFB
100858,NCAA,MBB
100858,NCAA,WBB
100858,NCAA,MBA
100858,NCAA,MTR
100858,NCAA,WTR
100937,NCAA,MFB
100937,NCAA,MBB
100937,NCAA,WBB
100937,NCAA,MBA
100937,NCAA,MTR
100937,NCAA,WTR
101189,NAIA,MFB
101189,NAIA,MBB
101189,NAIA,WBB
101189,NAIA,MBA
101435,NCAA,MFB
101435,NCAA,MBB
101435,NCAA,WBB
101435,NCAA,MBA
101435,NCAA,MTR
101435,NCAA,WTR
101480,NCAA,MFB
101480,NCAA,MBB
101480,NCAA,WBB
101480,NCAA,MBA
101480,NCAA,MTR
101480,NCAA,WTR
101587,NCAA,MFB
101587,NCAA,MBB
101587,NCAA,WBB
101587,NCAA,MBA
101587,NCAA,MTR
101587,NCAA,WTR
101675,NCAA,MFB
101675,NCAA,MBB
101675,NCAA,WBB
101675,NCAA,MBA
101675,NCAA,MTR
101675,NCAA,WTR
101693,NAIA,MBB
101693,NAIA,WBB
101693,NAIA,MBA
101693,NAIA,MTR
101693,NAIA,WTR
101709,NCAA,MBB
101709,NCAA,WBB
101709,NCAA,MBA
101709,NCAA,MTR
101709,NCAA,WTR
101879,NCAA,MFB
101879,NCAA,MBB
101879,NCAA,WBB
101879,NCAA,MBA
101879,NCAA,MTR
101879,NCAA,WTR
101912,NAIA,MBB
101912,NAIA,WBB
101912,NAIA,MBA
102049,NCAA,MFB
102049,NCAA,MBB
102049,NCAA,WBB
102049,NCAA,MBA
102049,NCAA,MTR
102049,NCAA,WTR
102094,NCAA,MFB
102094,NCAA,MBB
102094,NCAA,WBB
102094,NCAA,MBA
102094,NCAA,MTR
102094,NCAA,WTR
102234,NCAA,MBB
102234,NCAA,WBB
102234,NCAA,MBA
102234,NCAA,MTR
102234,NCAA,WTR
102270,NAIA,MBB
102270,NAIA,WBB
102270,NAIA,MBA
102270,NAIA,MTR
102270,NAIA,WTR
102298,NAIA,MBB
102298,NAIA,WBB
102298,NAIA,MBA
102298,NAIA,MTR
102298,NAIA,WTR
102368,NCAA,MFB
102368,NCAA,MBB
102368,NCAA,WBB
102368,NCAA,MBA
102368,NCAA,MTR
102368,NCAA,WTR
102377,NCAA,MFB
102377,NCAA,MBB
102377,NCAA,WBB
102377,NCAA,MBA
102377,NCAA,MTR
102377,NCAA,WTR
102553,NCAA,MBB
102553,NCAA,WBB
102553,NCAA,MTR
102553,NCAA,WTR
102614,NCAA,MBB
102614,NCAA,WBB
102614,NCAA,MTR
102614,NCAA,WTR
104151,NCAA,MFB
104151,NCAA,MBB
104151,NCAA,WBB
104151,NCAA,MBA
104151,NCAA,MTR
104151,NCAA,WTR
104179,NCAA,MFB
104179,NCAA,MBB
104179,NCAA,WBB
104179,NCAA,MBA
104179,NCAA,MTR
104179,NCAA,WTR
104586,NAIA,MBB
104586,NAIA,WBB
104586,NAIA,MBA
104586,NAIA,MTR
104586,NAIA,WTR
104717,NCAA,MBB
104717,NCAA,WBB
104717,NCAA,MBA
104717,NCAA,MTR
104717,NCAA,WTR
105330,NCAA,MFB
105330,NCAA,MBB
105330,NCAA,WBB
105330,NCAA,MTR
105330,NCAA,WTR
105899,NAIA,MFB
105899,NAIA,MBB
105899,NAIA,WBB
105899,NAIA,MBA
105899,NAIA,MTR
105899,NAIA,WTR
106245,NCAA,MBB
106245,NCAA,WBB
106245,NCAA,MBA
106245,NCAA,MTR
106245,NCAA,WTR
106306,NAIA,MFB
106306,NAIA,MBB
106306,NAIA,WBB
106306,NAIA,MBA
106306,NAIA,MTR
106306,NAIA,WTR
106342,NCAA,MFB
106342,NCAA,MBB
106342,NCAA,WBB
106342,NCAA,MBA
106342,NCAA,MTR
106342,NCAA,WTR
106397,NCAA,MFB
106397,NCAA,MBB
106397,NCAA,WBB
106397,NCAA,MBA
106397,NCAA,MTR
106397,NCAA,WTR
106412,NCAA,MFB
106412,NCAA,MBB
106412,NCAA,WBB
106412,NCAA,MBA
106412,NCAA,MTR
106412,NCAA,WTR
106458,NCAA,MFB
106458,NCAA,MBB
106458,NCAA,WBB
106458,NCAA,MBA
106458,NCAA,MTR
106458,NCAA,WTR
106467,NCAA,MFB
106467,NCAA,MBB
106467,NCAA,WBB
106467,NCAA,MBA
106467,NCAA,MTR
106467,NCAA,WTR
106485,NCAA,MFB
106485,NCAA,MBB
106485,NCAA,WBB
106485,NCAA,MBA
106485,NCAA,MTR
106485,NCAA,WTR
106704,NCAA,MFB
106704,NCAA,MBB
106704,NCAA,WBB
106704,NCAA,MBA
106704,NCAA,MTR
106704,NCAA,WTR
106713,NAIA,MBB
106713,NAIA,WBB
106713,NAIA,MBA
106713,NAIA,MTR
106713,NAIA,WTR
106810,NAIA,MBB
106810,NAIA,WBB
106810,NAIA,MBA
106810,NAIA,MTR
106810,NAIA,WTR
107044,NCAA,MFB
107044,NCAA,MBB
107044,NCAA,WBB
107044,NCAA,MBA
107044,NCAA,MTR
107044,NCAA,WTR
107071,NCAA,MFB
107071,NCAA,MBB
107071,NCAA,WBB
107071,NCAA,MBA
107071,NCAA,MTR
107071,NCAA,WTR
107080,NCAA,MFB
107080,NCAA,MBB
107080,NCAA,WBB
107080,NCAA,MBA
107080,NCAA,MTR
107080,NCAA,WTR
107141,NAIA,MBB
107141,NAIA,WBB
107141,NAIA,MTR
107141,NAIA,WTR
107512,NCAA,MFB
107512,NCAA,MBB
107512,NCAA,WBB
107512,NCAA,MBA
107512,NCAA,MTR
107512,NCAA,WTR
107558,NCAA,MBB
107558,NCAA,WBB
107558,NCAA,MBA
107558,NCAA,MTR
107558,NCAA,WTR
107600,NAIA,MBB
107600,NAIA,WBB
107600,NAIA,MBA
107600,NAIA,MTR
107600,NAIA,WTR
107877,NAIA,MBB
107877,NAIA,WBB
107877,NAIA,MBA
107877,NAIA,MTR
107877,NAIA,WTR
107983,NCAA,MFB
107983,NCAA,MBB
107983,NCAA,WBB
107983,NCAA,MBA
107983,NCAA,MTR
107983,NCAA,WTR
108092,NCAA,MBB
108092,NCAA,WBB
108092,NCAA,MBA
108092,NCAA,MTR
108092,NCAA,WTR
108232,NCAA,MBB
108232,NCAA,WBB
108232,NCAA,MBA
108232,NCAA,MTR
108232,NCAA,WTR
109785,NCAA,MBB
109785,NCAA,WBB
109785,NCAA,MBA
109785,NCAA,MTR
109785,NCAA,WTR
110097,NCAA,MBB
110097,NCAA,WBB
110097,NCAA,MBA
110097,NCAA,MTR
110097,NCAA,WTR
110361,NCAA,MBB
110361,NCAA,WBB
110361,NCAA,MBA
110361,NCAA,MTR
110361,NCAA,WTR
110404,NCAA,MBB
110404,NCAA,WBB
110404,NCAA,MBA
110404,NCAA,MTR
110404,NCAA,WTR
110413,NCAA,MFB
110413,NCAA,MBB
110413,NCAA,WBB
110413,NCAA,MBA
110413,NCAA,MTR
110413,NCAA,WTR
110422,NCAA,MFB
110422,NCAA,MBB
110422,NCAA,WBB
110422,NCAA,MBA
110422,NCAA,MTR
110422,NCAA,WTR
110486,NCAA,MBB
110486,NCAA,WBB
110486,NCAA,MBA
110486,NCAA,MTR
110486,NCAA,WTR
110495,NCAA,MBB
110495,NCAA,WBB
110495,NCAA,MBA
110495,NCAA,MTR
110495,NCAA,WTR
110510,NCAA,MBB
110510,NCAA,WBB
110510,NCAA,MBA
110510,NCAA,MTR
110510,NCAA,WTR
110529,NCAA,MBB
110529,NCAA,WBB
110529,NCAA,MBA
110529,NCAA,MTR
110529,NCAA,WTR
110538,NCAA,MBB
110538,NCAA,WBB
110538,NCAA,MBA
110538,NCAA,MTR
110538,NCAA,WTR
110547,NCAA,MBB
110547,NCAA,WBB
110547,NCAA,MBA
110547,NCAA,MTR
110547,NCAA,WTR
110556,NCAA,MFB
110556,NCAA,MBB
110556,NCAA,WBB
110556,NCAA,MBA
110556,NCAA,MTR
110556,NCAA,WTR
110565,NCAA,MBB
110565,NCAA,WBB
110565,NCAA,MBA
110565,NCAA,MTR
110565,NCAA,WTR
110574,NCAA,MBB
110574,NCAA,WBB
110574,NCAA,MBA
110574,NCAA,MTR
110574,NCAA,WTR
110583,NCAA,MBB
110583,NCAA,WBB
110583,NCAA,MBA
110583,NCAA,MTR
110583,NCAA,WTR
110592,NCAA,MBB
110592,NCAA,WBB
110592,NCAA,MBA
110592,NCAA,MTR
110592,NCAA,WTR
110608,NCAA,MBB
110608,NCAA,WBB
110608,NCAA,MBA
110608,NCAA,MTR
110608,NCAA,WTR
110617,NCAA,MFB
110617,NCAA,MBB
110617,NCAA,WBB
110617,NCAA,MBA
110617,NCAA,MTR
110617,NCAA,WTR
110635,NCAA,MFB
110635,NCAA,MBB
110635,NCAA,WBB
110635,NCAA,MBA
110635,NCAA,MTR
110635,NCAA,WTR
110644,NCAA,MFB
110644,NCAA,MBB
110644,NCAA,WBB
110644,NCAA,MBA
110644,NCAA,MTR
110644,NCAA,WTR
110653,NCAA,MBB
110653,NCAA,WBB
110653,NCAA,MBA
110653,NCAA,MTR
110653,NCAA,WTR
110662,NCAA,MFB
110662,NCAA,MBB
110662,NCAA,WBB
110662,NCAA,MBA
110662,NCAA,MTR
110662,NCAA,WTR
110671,NCAA,MBB
110671,NCAA,WBB
110671,NCAA,MBA
110671,NCAA,MTR
110671,NCAA,WTR
110680,NCAA,MBB
110680,NCAA,WBB
110680,NCAA,MBA
110680,NCAA,MTR
110680,NCAA,WTR
110705,NCAA,MBB
110705,NCAA,WBB
110705,NCAA,MBA
110705,NCAA,MTR
110705,NCAA,WTR
110714,NCAA,MBB
110714,NCAA,WBB
110714,NCAA,MTR
110714,NCAA,WTR
111188,NAIA,MBB
111188,NAIA,WBB
111188,NAIA,MTR
111188,NAIA,WTR
111948,NCAA,MFB
111948,NCAA,MBB
111948,NCAA,WBB
111948,NCAA,MBA
111948,NCAA,MTR
111948,NCAA,WTR
112075,NCAA,MBB
112075,NCAA,WBB
112075,NCAA,MBA
112075,NCAA,MTR
112075,NCAA,WTR
112084,NAIA,MBB
112084,NAIA,WBB
112084,NAIA,MBA
112084,NAIA,MTR
112084,NAIA,WTR
112260,NCAA,MFB
112260,NCAA,MBB
112260,NCAA,WBB
112260,NCAA,MBA
112260,NCAA,MTR
112260,NCAA,WTR
113698,NCAA,MBB
113698,NCAA,WBB
113698,NCAA,MTR
113698,NCAA,WTR
114813,NCAA,MBB
114813,NCAA,WBB
114813,NCAA,MBA
114813,NCAA,MTR
114813,NCAA,WTR
115409,NCAA,MFB
115409,NCAA,MBB
115409,NCAA,WBB
115409,NCAA,MBA
115409,NCAA,MTR
115409,NCAA,WTR
115728,NCAA,MBB
115728,NCAA,WBB
115728,NCAA,MBA
115728,NCAA,MTR
115728,NCAA,WTR
115755,NCAA,MFB
115755,NCAA,MBB
115755,NCAA,WBB
115755,NCAA,MTR
115755,NCAA,WTR
117104,NAIA,MBB
117104,NAIA,WBB
117104,NAIA,MTR
117104,NAIA,WTR
117140,NCAA,MFB
117140,NCAA,MBB
117140,NCAA,WBB
117140,NCAA,MBA
117140,NCAA,MTR
117140,NCAA,WTR
117627,NAIA,MBB
117627,NAIA,WBB
117627,NAIA,MBA
117627,NAIA,MTR
117627,NAIA,WTR
117751,NAIA,MBB
117751,NAIA,WBB
117751,NAIA,MBA
117751,NAIA,MTR
117751,NAIA,WTR
117946,NCAA,MBB
117946,NCAA,WBB
117946,NCAA,MBA
117946,NCAA,MTR
117946,NCAA,WTR
118541,NAIA,MBA
118541,NAIA,MTR
118541,NAIA,WTR
118684,NCAA,MBB
118684,NCAA,WBB
